SellerID,GUID,Date,Reference,Customer_Code,Name,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Telephone,Stock_Code,Description,Price_Ex_Vat,Quantity,RepCode,ProductBarCodeID
VILJOEN,0,2025-07-21,CRN23373,P605,PIETIE LIEFDE (14 DAYS EFT),125 DORP STRAAT,POLOKWANE,,PHS 125 DORP STRAAT POLOKWANE ,066 277 9162,V24BB500,Vita24 Blue Berry 500ml 1x6 pack,102.75,-4,1,
VILJOEN,0,2025-07-21,CRN23373,P605,PIETIE LIEFDE (14 DAYS EFT),125 DORP STRAAT,POLOKWANE,,PHS 125 DORP STRAAT POLOKWANE ,066 277 9162,V24LI500,Vita24 Litchi 500ml 1x6 pack,102.75,-4,1,
VILJOEN,0,2025-07-21,CRN23373,P605,PIETIE LIEFDE (14 DAYS EFT),125 DORP STRAAT,POLOKWANE,,PHS 125 DORP STRAAT POLOKWANE ,066 277 9162,V24PF500,Vita24 Passionfruit 500ml 1x6 pack,102.75,-4,1,
VILJOEN,0,2025-07-21,CRN23373,P605,PIETIE LIEFDE (14 DAYS EFT),125 DORP STRAAT,POLOKWANE,,PHS 125 DORP STRAAT POLOKWANE ,066 277 9162,V24TZ500,Vita24 Tangerine 500ml 1x6 pack,102.75,-4,1,
VILJOEN,0,2025-07-21,IN-422297,P400,SKOON BEGIN BOERDERY (PTY)TLD,SKOON BEGIN BOERDERY (PTY)TLD,PRETORUIS 147.,THABO MBEKI RYLAAN  MOKOPANE,147 Pretoruis Street Cnr Geyser Street Mokopane 0600,015 491  4555,P860002,Pepsi Max 6x2lt,98.0,4,8,
VILJOEN,0,2025-07-21,IN-422298,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,SWI002,Switch Energy Element 24x500ml,176.09,1,15,
VILJOEN,0,2025-07-21,IN-422298,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,SWI017,Switch Vit C Orange  24x500ml,176.09,1,15,
VILJOEN,0,2025-07-21,IN-422298,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,WBNEW500,W/B Spring Water Still 24x500ml,131.74,1,15,
VILJOEN,0,2025-07-21,IN-422298,P2454,NDOUVHADA SERVICE STATION (Pty) Ltd T/a,SASOL MATOKS (CAD),P.O. Box 1180,"Dwarsriver,Polokwane",De Farm De Kafter's Drift Siols Matoks Makhado ,015 527 5012,WBNEW750,W/B Spring Water Still 12x750ml,99.57,1,15,
VILJOEN,0,2025-07-21,IN-422299,P1032,TOTAL L/B ROEDTAN(R/TAN EXPRESS)(CAD),P.O. Box 110,,Roedtan,Main Road  Roedtan ,015 667 0503,WBNEW1.5L,"W/B Spring Water Still 12x1,5L",104.35,13,14,
VILJOEN,0,2025-07-21,IN-422300,SP071,SPAR NORTH RAND (11691),SPAR NORTHRAND(11691),P.O.BOX 528,CLAYVILLE,SPAR SOUTPANSBERG-30950 SHOP2 RICKYS CENTRE  61 BOABAB STR LOUIS TRICHARDT VATNO:4590268589,,SQ001,Squeeze-Mee Chocolate 40x130ml,279.13,4,15,
VILJOEN,0,2025-07-21,IN-422300,SP071,SPAR NORTH RAND (11691),SPAR NORTHRAND(11691),P.O.BOX 528,CLAYVILLE,SPAR SOUTPANSBERG-30950 SHOP2 RICKYS CENTRE  61 BOABAB STR LOUIS TRICHARDT VATNO:4590268589,,SQ002,Squeeze-Mee Strawberry 40x130ml,279.13,2,15,
VILJOEN,0,2025-07-21,IN-422300,SP071,SPAR NORTH RAND (11691),SPAR NORTHRAND(11691),P.O.BOX 528,CLAYVILLE,SPAR SOUTPANSBERG-30950 SHOP2 RICKYS CENTRE  61 BOABAB STR LOUIS TRICHARDT VATNO:4590268589,,SQ003,Squeeze-Mee Bubblegum 40x130ml,279.13,2,15,
