"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Mageu",23/07/2025,"CRN23375","P3958","BOTTOM LINE TRADING 19 T/A GLOBAL MOGWAD","GLOBAL MOGWADI 7 DAYS","THORNHILL","POLOKWANE","","STAND NO 498","CNR R521 DENDRON ROAD","DENDRON","","015 298 8531","MA013","Mageu  Mabele 10x1lt",-2,-296,15
"Sasol","Clippa",23/07/2025,"CRN23376","P3937","AZWI64(PTY)LTD T/A SASOL JORISSEN 3D EFT","5206 CELTIC MEADOWS","POLOKWANE","","","74 DORP STREET","POLOKWANE","","","084 778 8118","MEN060","Mentos Gum FF Bubble Fresh 60p",-1,-238,1
"Savemor","Waterberg NEW",23/07/2025,"CRN23377","P1064","TASOTIME (CAD)","81 THABO MBEKI STREET","","Mookgophong","0560","81 Thabo Mbeki Street","","Mookgopong","0560","014 743 2295","WBNEW1.5L","W/B Spring Water Still 12x1,5L",-1,-113,14
"Savemor","Energizer",23/07/2025,"CRN23378","P1064","TASOTIME (CAD)","81 THABO MBEKI STREET","","Mookgophong","0560","81 Thabo Mbeki Street","","Mookgopong","0560","014 743 2295","ENE203","Energizer Max 9V 1 Pack x 1",-10,-542,14
"ALL Other","Snack a Juice",23/07/2025,"CRN23379","P1416","SPIF BELEGGINGS (PTY)LTD  (7 D - I)","P.O. Box 1772","","Naboomspruit","","Plaas 348","","Naboomspruit","0560","014 743 0047","SJ204","Snack a Juice App S/C 100% 24x500ml",-1,-344,14
"ALL Other","Foxi Snax",23/07/2025,"IN-422455","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","FNP001","Foxi Puffs Fruit Chutney 20x50g",2,171.30,16
"ALL Other","Foxi Snax",23/07/2025,"IN-422455","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","FNP002","Foxi Puffs Salt Vinegar 20x50g",2,171.30,16
"ALL Other","Aquelle",23/07/2025,"IN-422455","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","QU602","aQuelle Naartjie 6x500ml",1,42,16
"ALL Other","Aquelle",23/07/2025,"IN-422455","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","QU603","aQuelle Strawberry 6x500ml",4,168,16
"ALL Other","Aquelle",23/07/2025,"IN-422455","P3990","ERIC LOUW HIGH SCHOOL (7D EFT)","PTIVATE BAG X626","MUSINA","","","IRWIN STREET 43","MUSINA","","","015 534 0707","QU607","aQuelle Marula 6x500ml",4,168,16
